point,group,lat_deg,lon_deg,H_itrf96,h_hkpd,N_sep
141,I,22.249748967,114.174671503,11.921,14.46,-2.539
142,I,22.256032114,114.212459958,152.023,154.378,-2.355
143,I,22.199067797,114.220418458,159.095,161.318,-2.223
146,I,22.345795208,114.215119164,268.501,271.065,-2.564
235,I,22.280410311,114.135345506,252.343,255.132,-2.789
241,I,22.228472503,114.255748531,14.315,16.467,-2.152
431,I,22.550270269,114.157682214,46.264,49.496,-3.232
1025.05,I,22.247677194,114.228543283,161.623,163.874,-2.251
10722,I,22.229172967,114.161599694,16.222,18.753,-2.531
10733,I,22.215013036,114.205016953,58.58,60.888,-2.308
20724,I,22.361688969,114.016941508,0.236,3.756,-3.52
20725,I,22.349465797,114.092734789,209.673,212.793,-3.12
20726,I,22.316561422,114.248071603,190.444,192.804,-2.36
20727,I,22.28946295,114.300559525,95.209,97.325,-2.116
20728,I,22.309614225,114.170980667,67.338,70.047,-2.709
20729,I,22.379920669,114.337707631,63.122,65.316,-2.194
20730,I,22.289310356,114.300313714,96.631,98.747,-2.116
30833,I,22.432641128,114.255506656,0.684,3.342,-2.658
30834,I,22.442233847,114.183763664,0.345,3.317,-2.972
30835,I,22.470458386,114.232520117,0.289,3.103,-2.814
7023.06,I,22.526881275,114.207741264,35.413,38.408,-2.995
HKKT.1,I,22.444906039,114.0665651,34.557,38.062,-3.505
HKLT,I,22.418134089,113.996623422,125.935,129.666,-3.731
HKOH,I,22.247687167,114.228552192,166.418,168.689,-2.271
HKQB,I,22.291032542,114.213227975,5.006,7.469,-2.463
HKSC,I,22.322172083,114.141187908,20.227,23.119,-2.892
HKSL,I,22.372004697,113.927981328,95.303,99.264,-3.961
HKSS,I,22.431067919,114.26929345,38.709,41.289,-2.58
HKST.1,I,22.395270581,114.184241717,258.727,261.534,-2.807
HKWS,I,22.43428235,114.335377303,63.789,66.107,-2.318
LOKO,I,22.362331886,114.001990364,2.273,5.907,-3.634
QUAR,I,22.291120161,114.213066839,1.309,3.79,-2.481
TAIM,I,22.270268333,114.289373853,1.69,3.813,-2.123
TAIP,I,22.441792089,114.18282625,2.663,5.633,-2.97
TSIM,I,22.486721303,114.012316253,-1.368,2.473,-3.841
72,II,22.306273194,114.242255694,280.462,282.847,-2.385
94,II,22.440238436,114.048063181,147.052,150.636,-3.584
96,II,22.485771439,114.000299981,66.006,69.88,-3.874
128,II,22.293752025,114.243842983,220.448,222.811,-2.363
138,II,22.335526244,114.163801442,87.772,90.572,-2.8
139,II,22.312169169,114.183875028,86.145,88.799,-2.654
144,II,22.282282811,114.196958861,227.146,229.647,-2.501
305,II,22.494454267,114.06558675,63.793,67.375,-3.582
311,II,22.368688078,114.018829044,138.791,142.34,-3.549
323,II,22.429284583,114.002493942,81.419,85.177,-3.758
324,II,22.396521886,113.917740506,51.256,55.312,-4.056
414,II,22.438463764,114.098215989,60.572,63.851,-3.279
430,II,22.494720908,114.138199183,41.308,44.566,-3.258
504,II,22.392295233,114.184071978,279.604,282.426,-2.822
526,II,22.433682619,114.174805922,280.674,283.675,-3.001
539,II,22.519829264,114.222796389,52.942,55.819,-2.877
540,II,22.456298839,114.252608483,103.055,105.751,-2.696
654,II,22.361334583,114.371892164,101.739,103.819,-2.08
655,II,22.434405653,114.335349872,59.036,61.371,-2.335
657,II,22.307257519,114.296864842,61.271,63.463,-2.192
658,II,22.3876043,114.300504206,56.299,58.663,-2.364
659,II,22.343645617,114.259495433,176.58,179.003,-2.423
HKFN,II,22.494686133,114.138168358,41.21,44.463,-3.253
236,III,22.294043925,113.935470794,76.454,80.148,-3.694
248,III,22.232382472,113.95701255,2.824,6.186,-3.362
249,III,22.327536842,114.012503156,64.443,67.901,-3.458
1115.03,III,22.248952272,113.894124683,349.365,353.085,-3.72
12240,III,22.302231492,113.978356414,11.511,15.035,-3.524
CHIM,III,22.239495619,113.999792969,0.542,3.804,-3.262
HKMW,III,22.255812561,114.003177261,194.965,198.23,-3.265
HKNP,III,22.249065936,113.893875,350.7,354.421,-3.721
HKPC,III,22.284949086,114.037840475,18.123,21.367,-3.244
SHEK,III,22.221814725,113.895643486,0.014,3.709,-3.695
TAIO,III,22.252677756,113.853090733,-0.147,3.862,-4.009
75,IV,22.284052639,114.076306725,116.383,119.462,-3.079
86,IV,22.258315592,113.855782314,73.358,77.347,-3.989
240,IV,22.285392044,113.939478764,72.165,75.809,-3.644
247,IV,22.256525044,114.001322681,192.423,195.711,-3.288
250,IV,22.2246688,113.899557597,144.825,148.476,-3.651
